Epoch [58] | Time: 12.2778261s | Clustering Loss: 0.4735628 | ResNet Loss: 0.0083836
####################### 
Epoch [59] | Time: 12.2830036s | Clustering Loss: 0.4926267 | ResNet Loss: 0.0082446
####################### 
Epoch [60] | Time: 12.2826619s | Clustering Loss: 0.4982133 | ResNet Loss: 0.0081040
####################### 
Epoch [61] | Time: 12.2779229s | Clustering Loss: 0.4684948 | ResNet Loss: 0.0079736
####################### 
Epoch [62] | Time: 12.2916491s | Clustering Loss: 0.4617190 | ResNet Loss: 0.0078566
####################### 
Epoch [63] | Time: 12.2824199s | Clustering Loss: 0.4523930 | ResNet Loss: 0.0077283
####################### 
Epoch [64] | Time: 12.2653987s | Clustering Loss: 0.4719801 | ResNet Loss: 0.0076008
####################### 
Epoch [65] | Time: 12.2835116s | Clustering Loss: 0.4209754 | ResNet Loss: 0.0074859
####################### 
Epoch [66] | Time: 12.2773287s | Clustering Loss: 0.4635233 | ResNet Loss: 0.0073790
####################### 
Epoch [67] | Time: 12.2710207s | Clustering Loss: 0.4491522 | ResNet Loss: 0.0072649
####################### 
Epoch [68] | Time: 12.2869737s | Clustering Loss: 0.5483164 | ResNet Loss: 0.0071620
####################### 
Epoch [69] | Time: 12.2792454s | Clustering Loss: 0.5202969 | ResNet Loss: 0.0070605
####################### 
Epoch [70] | Time: 12.2568817s | Clustering Loss: 0.4466336 | ResNet Loss: 0.0069593
####################### 
Epoch [71] | Time: 12.2627974s | Clustering Loss: 0.4363962 | ResNet Loss: 0.0068635
####################### 
Epoch [72] | Time: 12.2711239s | Clustering Loss: 0.4486657 | ResNet Loss: 0.0067679
####################### 
Epoch [73] | Time: 12.2900386s | Clustering Loss: 0.4423248 | ResNet Loss: 0.0066763
####################### 
Epoch [74] | Time: 12.2501755s | Clustering Loss: 0.4590006 | ResNet Loss: 0.0065922
####################### 
Epoch [75] | Time: 12.2409360s | Clustering Loss: 0.4193148 | ResNet Loss: 0.0065010
####################### 
Epoch [76] | Time: 12.2721739s | Clustering Loss: 0.4043846 | ResNet Loss: 0.0064197
####################### 
Epoch [77] | Time: 12.2726772s | Clustering Loss: 0.4753710 | ResNet Loss: 0.0063329
####################### 
Epoch [78] | Time: 12.2323930s | Clustering Loss: 0.5066173 | ResNet Loss: 0.0062518
####################### 
Epoch [79] | Time: 12.2615237s | Clustering Loss: 0.5031637 | ResNet Loss: 0.0061775
####################### 
Epoch [80] | Time: 12.2550476s | Clustering Loss: 0.5388514 | ResNet Loss: 0.0061043
####################### 
Epoch [81] | Time: 12.2654688s | Clustering Loss: 0.4527645 | ResNet Loss: 0.0060279
####################### 
Epoch [82] | Time: 12.2317030s | Clustering Loss: 0.4641626 | ResNet Loss: 0.0059508
####################### 
Epoch [83] | Time: 12.2786829s | Clustering Loss: 0.4691080 | ResNet Loss: 0.0058795
####################### 
Epoch [84] | Time: 12.2589977s | Clustering Loss: 0.4848352 | ResNet Loss: 0.0058127
####################### 
Epoch [85] | Time: 12.2448318s | Clustering Loss: 0.4315676 | ResNet Loss: 0.0057445
####################### 
Epoch [86] | Time: 12.2799690s | Clustering Loss: 0.4403969 | ResNet Loss: 0.0056820
####################### 
Epoch [87] | Time: 12.2590580s | Clustering Loss: 0.4102676 | ResNet Loss: 0.0056132
####################### 
Epoch [88] | Time: 12.2718987s | Clustering Loss: 0.4327361 | ResNet Loss: 0.0055496
####################### 
Epoch [89] | Time: 12.2519448s | Clustering Loss: 0.4202503 | ResNet Loss: 0.0054890
####################### 
Epoch [90] | Time: 12.2609384s | Clustering Loss: 0.4198636 | ResNet Loss: 0.0054289
####################### 
Epoch [91] | Time: 12.2940848s | Clustering Loss: 0.4343526 | ResNet Loss: 0.0053668
####################### 
Epoch [92] | Time: 12.2644136s | Clustering Loss: 0.4781882 | ResNet Loss: 0.0053162
####################### 
Epoch [93] | Time: 12.2553961s | Clustering Loss: 0.4536310 | ResNet Loss: 0.0052517
####################### 
Epoch [94] | Time: 12.2758129s | Clustering Loss: 0.4737796 | ResNet Loss: 0.0052023
####################### 
Epoch [95] | Time: 12.2766364s | Clustering Loss: 0.4663613 | ResNet Loss: 0.0051450
####################### 
Epoch [96] | Time: 12.2612100s | Clustering Loss: 0.4751336 | ResNet Loss: 0.0050945
####################### 
Epoch [97] | Time: 12.2489345s | Clustering Loss: 0.4500160 | ResNet Loss: 0.0050388
####################### 
Epoch [98] | Time: 12.2474875s | Clustering Loss: 0.4940282 | ResNet Loss: 0.0049919
####################### 
Epoch [99] | Time: 12.2539530s | Clustering Loss: 0.4266959 | ResNet Loss: 0.0049391
####################### 
Epoch [0] | Time: 14.8635187s | Clustering Loss: 7.0792079 | ResNet Loss: 0.3666336
####################### 
Epoch [1] | Time: 11.7092681s | Clustering Loss: 0.5269371 | ResNet Loss: 0.1963307
####################### 
Epoch [100] | Time: 14.9077604s | Clustering Loss: 0.4306853 | ResNet Loss: 0.0048875
####################### 
Epoch [101] | Time: 11.7825828s | Clustering Loss: 0.4429782 | ResNet Loss: 0.0048419
####################### 
Epoch [102] | Time: 11.9057221s | Clustering Loss: 0.4116618 | ResNet Loss: 0.0047957
####################### 
Epoch [103] | Time: 11.9974442s | Clustering Loss: 0.4293784 | ResNet Loss: 0.0047493
####################### 
Epoch [104] | Time: 12.0817556s | Clustering Loss: 0.3812659 | ResNet Loss: 0.0047022
####################### 
Epoch [105] | Time: 12.1543655s | Clustering Loss: 0.3619447 | ResNet Loss: 0.0046596
####################### 
Epoch [106] | Time: 12.1760156s | Clustering Loss: 0.5023983 | ResNet Loss: 0.0046214
####################### 
Epoch [107] | Time: 12.2012460s | Clustering Loss: 0.4937559 | ResNet Loss: 0.0045775
####################### 
Epoch [108] | Time: 12.2577865s | Clustering Loss: 0.4136508 | ResNet Loss: 0.0045310
####################### 
Epoch [109] | Time: 12.2468193s | Clustering Loss: 0.4165705 | ResNet Loss: 0.0044878
####################### 
Epoch [110] | Time: 12.2601397s | Clustering Loss: 0.3931648 | ResNet Loss: 0.0044509
####################### 
Epoch [111] | Time: 12.2696130s | Clustering Loss: 0.4485114 | ResNet Loss: 0.0044083
####################### 
Epoch [112] | Time: 12.2645295s | Clustering Loss: 0.4352373 | ResNet Loss: 0.0043677
####################### 
Epoch [113] | Time: 12.2791281s | Clustering Loss: 0.3968830 | ResNet Loss: 0.0043305
####################### 
Epoch [114] | Time: 12.2885153s | Clustering Loss: 0.3973024 | ResNet Loss: 0.0042931
####################### 
Epoch [115] | Time: 12.3205838s | Clustering Loss: 0.4139319 | ResNet Loss: 0.0042582
####################### 
Epoch [116] | Time: 12.2891634s | Clustering Loss: 0.5174822 | ResNet Loss: 0.0042199
####################### 
Epoch [117] | Time: 12.2998900s | Clustering Loss: 0.4617434 | ResNet Loss: 0.0041858
####################### 
Epoch [118] | Time: 12.3167589s | Clustering Loss: 0.5356756 | ResNet Loss: 0.0041491
####################### 
Epoch [119] | Time: 12.3338668s | Clustering Loss: 0.4317151 | ResNet Loss: 0.0041158
####################### 
Epoch [120] | Time: 12.3267422s | Clustering Loss: 0.4127946 | ResNet Loss: 0.0040818
####################### 
Epoch [121] | Time: 12.3378940s | Clustering Loss: 0.4887057 | ResNet Loss: 0.0040491
####################### 
Epoch [122] | Time: 12.3245323s | Clustering Loss: 0.4692849 | ResNet Loss: 0.0040142
####################### 
Epoch [123] | Time: 12.2831855s | Clustering Loss: 0.4627536 | ResNet Loss: 0.0039847
####################### 
Epoch [124] | Time: 12.2997208s | Clustering Loss: 0.4362971 | ResNet Loss: 0.0039485
####################### 
Epoch [125] | Time: 12.3201189s | Clustering Loss: 0.4045532 | ResNet Loss: 0.0039195
####################### 
Epoch [126] | Time: 12.3288994s | Clustering Loss: 0.4196966 | ResNet Loss: 0.0038871
####################### 
Epoch [127] | Time: 12.3479428s | Clustering Loss: 0.4048595 | ResNet Loss: 0.0038579
####################### 
Epoch [128] | Time: 12.3188128s | Clustering Loss: 0.4705955 | ResNet Loss: 0.0038271
####################### 
Epoch [129] | Time: 12.3213248s | Clustering Loss: 0.3940066 | ResNet Loss: 0.0037962
####################### 
Epoch [130] | Time: 12.2875109s | Clustering Loss: 0.3565557 | ResNet Loss: 0.0037673
####################### 
Epoch [131] | Time: 12.3389089s | Clustering Loss: 0.4381880 | ResNet Loss: 0.0037410
####################### 
Epoch [132] | Time: 12.3210218s | Clustering Loss: 0.3660958 | ResNet Loss: 0.0037120
####################### 
Epoch [133] | Time: 12.3047297s | Clustering Loss: 0.3900869 | ResNet Loss: 0.0036851
####################### 
Epoch [134] | Time: 12.3201993s | Clustering Loss: 0.4633229 | ResNet Loss: 0.0036573
####################### 
Epoch [135] | Time: 12.2971756s | Clustering Loss: 0.4311695 | ResNet Loss: 0.0036295
####################### 
Epoch [136] | Time: 12.3101366s | Clustering Loss: 0.4643955 | ResNet Loss: 0.0036061
####################### 
Epoch [137] | Time: 12.2835791s | Clustering Loss: 0.4602350 | ResNet Loss: 0.0035756
####################### 
Epoch [138] | Time: 12.3118451s | Clustering Loss: 0.3966942 | ResNet Loss: 0.0035531
####################### 
Epoch [139] | Time: 12.2569420s | Clustering Loss: 0.3797013 | ResNet Loss: 0.0035274
####################### 
Epoch [140] | Time: 12.2578335s | Clustering Loss: 0.4071307 | ResNet Loss: 0.0035045
####################### 
Epoch [141] | Time: 12.2577343s | Clustering Loss: 0.5368684 | ResNet Loss: 0.0034754
####################### 
Epoch [142] | Time: 12.2661808s | Clustering Loss: 0.4331564 | ResNet Loss: 0.0034512
####################### 
Epoch [143] | Time: 12.2985067s | Clustering Loss: 0.4701141 | ResNet Loss: 0.0034294
####################### 
Epoch [144] | Time: 12.2786794s | Clustering Loss: 0.4577156 | ResNet Loss: 0.0034067
####################### 
Epoch [145] | Time: 12.2980993s | Clustering Loss: 0.4220479 | ResNet Loss: 0.0033814
####################### 
Epoch [146] | Time: 12.2717466s | Clustering Loss: 0.3978533 | ResNet Loss: 0.0033586
####################### 
Epoch [147] | Time: 12.2660377s | Clustering Loss: 0.4219655 | ResNet Loss: 0.0033362
####################### 
Epoch [148] | Time: 12.2924013s | Clustering Loss: 0.3590117 | ResNet Loss: 0.0033137
####################### 
Epoch [149] | Time: 12.2824750s | Clustering Loss: 0.4293833 | ResNet Loss: 0.0032919
####################### 
Epoch [150] | Time: 12.2990949s | Clustering Loss: 0.3931733 | ResNet Loss: 0.0032706
####################### 
Epoch [151] | Time: 12.2933948s | Clustering Loss: 0.4942454 | ResNet Loss: 0.0032506
####################### 
Epoch [152] | Time: 12.2940948s | Clustering Loss: 0.4549201 | ResNet Loss: 0.0032254
####################### 
Epoch [153] | Time: 12.2769878s | Clustering Loss: 0.3718310 | ResNet Loss: 0.0032039
####################### 
Epoch [154] | Time: 12.3187103s | Clustering Loss: 0.4060296 | ResNet Loss: 0.0031841
####################### 
Epoch [155] | Time: 12.3099236s | Clustering Loss: 0.4721981 | ResNet Loss: 0.0031660
####################### 
Epoch [156] | Time: 12.3220234s | Clustering Loss: 0.4353571 | ResNet Loss: 0.0031488
####################### 
Epoch [157] | Time: 12.2762475s | Clustering Loss: 0.3729890 | ResNet Loss: 0.0031253
####################### 
Epoch [158] | Time: 12.3000197s | Clustering Loss: 0.4211579 | ResNet Loss: 0.0031035
####################### 
Epoch [159] | Time: 12.2942874s | Clustering Loss: 0.4764607 | ResNet Loss: 0.0030856
####################### 
Epoch [160] | Time: 12.2405891s | Clustering Loss: 0.4119625 | ResNet Loss: 0.0030658
####################### 
Epoch [161] | Time: 12.2860017s | Clustering Loss: 0.3435721 | ResNet Loss: 0.0030467
####################### 
Epoch [162] | Time: 12.2913592s | Clustering Loss: 0.3534934 | ResNet Loss: 0.0030270
####################### 
Epoch [163] | Time: 12.2937632s | Clustering Loss: 0.3188030 | ResNet Loss: 0.0030122
####################### 
Epoch [164] | Time: 12.3000441s | Clustering Loss: 0.5265032 | ResNet Loss: 0.0029913
####################### 
Epoch [165] | Time: 12.3071358s | Clustering Loss: 0.4730750 | ResNet Loss: 0.0029742
####################### 
Epoch [166] | Time: 12.2658541s | Clustering Loss: 0.4229806 | ResNet Loss: 0.0029588
####################### 
Epoch [167] | Time: 12.2980330s | Clustering Loss: 0.4468061 | ResNet Loss: 0.0029375
####################### 
Epoch [168] | Time: 12.3019817s | Clustering Loss: 0.4036261 | ResNet Loss: 0.0029214
####################### 
Epoch [169] | Time: 12.2933614s | Clustering Loss: 0.3972402 | ResNet Loss: 0.0029059
####################### 
Epoch [170] | Time: 12.2661612s | Clustering Loss: 0.4001383 | ResNet Loss: 0.0028855
####################### 
Epoch [171] | Time: 12.2913549s | Clustering Loss: 0.3967074 | ResNet Loss: 0.0028697
####################### 
Epoch [172] | Time: 12.2772708s | Clustering Loss: 0.4420647 | ResNet Loss: 0.0028530
####################### 
Epoch [173] | Time: 12.2871768s | Clustering Loss: 0.4228849 | ResNet Loss: 0.0028366
####################### 
Epoch [174] | Time: 12.2997782s | Clustering Loss: 0.4094017 | ResNet Loss: 0.0028211
####################### 
Epoch [175] | Time: 12.2702298s | Clustering Loss: 0.3802634 | ResNet Loss: 0.0028046
####################### 
Epoch [176] | Time: 12.3040388s | Clustering Loss: 0.4401199 | ResNet Loss: 0.0027889
####################### 
Epoch [177] | Time: 12.2827110s | Clustering Loss: 0.3997304 | ResNet Loss: 0.0027730
####################### 
Epoch [178] | Time: 12.2817433s | Clustering Loss: 0.3746926 | ResNet Loss: 0.0027567
####################### 
Epoch [179] | Time: 12.3197045s | Clustering Loss: 0.3655831 | ResNet Loss: 0.0027433
####################### 
Epoch [180] | Time: 12.2459481s | Clustering Loss: 0.4662886 | ResNet Loss: 0.0027267
####################### 
Epoch [181] | Time: 12.2616816s | Clustering Loss: 0.4549361 | ResNet Loss: 0.0027143
####################### 
Epoch [182] | Time: 12.3037202s | Clustering Loss: 0.3920323 | ResNet Loss: 0.0026995
####################### 
Epoch [183] | Time: 12.2724121s | Clustering Loss: 0.4471384 | ResNet Loss: 0.0026827
####################### 
Epoch [184] | Time: 12.2591288s | Clustering Loss: 0.3867935 | ResNet Loss: 0.0026686
####################### 
Epoch [185] | Time: 12.2659433s | Clustering Loss: 0.3976903 | ResNet Loss: 0.0026543
####################### 
Epoch [186] | Time: 12.2725847s | Clustering Loss: 0.4973210 | ResNet Loss: 0.0026396
####################### 
Epoch [187] | Time: 12.2976117s | Clustering Loss: 0.4421220 | ResNet Loss: 0.0026254
####################### 
